"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.366518126797563e-03, -1.540113522145466e-05, 3.330476508663266e-06, 8.234076306994178e-09, -1.603823571295815e-02, 1.124169226457555e-01, 1.135547909787007e-01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.659766664548727e-03, -1.739357537224576e-05, 3.485117913334552e-06, 1.062742125268923e-08, -1.341910294045986e-02, 9.477023567696112e-02, 9.571522139886771e-02
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.603648149652005e-03, -1.679146474512094e-05, 3.144607591901349e-06, 8.840321849063862e-09, -1.137575477103770e-02, 8.098652369515154e-02, 8.178128697494920e-02
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.796632710016615e-03, -1.803661384307140e-05, 3.196231016733396e-06, 1.011778738659568e-08, -9.741818604544700e-03, 6.995240180503817e-02, 7.062725535617730e-02
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.786687620439994e-03, -1.777991029568784e-05, 2.805982101559436e-06, 8.679558074070429e-09, -8.419616007995465e-03, 6.101986295264977e-02, 6.159781439318902e-02
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.932031655492345e-03, -1.865593399116848e-05, 3.091593136354027e-06, 9.971671953512135e-09, -7.346937016466428e-03, 5.376457691480429e-02, 5.426408240999665e-02
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.923239967741974e-03, -1.829651278758761e-05, 2.891040290566597e-06, 8.784016332087725e-09, -6.450497144222937e-03, 4.769154796056466e-02, 4.812567504664419e-02
17, 9.214000105860000e-01, -1.087086069705918e-02, 2.256766945192236e-03, -2.013030268318490e-05, 2.440384112054101e-06, 9.606732160150185e-09, -5.714729195911164e-03, 4.271561468289875e-02, 4.309609178210196e-02
18, 9.126999974250000e-01, -1.200973104171110e-02, 2.232208723042937e-03, -2.006201332509017e-05, 2.990505001735908e-06, 1.023826717241056e-08, -5.069466413791704e-03, 3.831180333644257e-02, 3.864566093443535e-02
19, 9.035800099370001e-01, -1.319055953446835e-02, 2.131894732945382e-03, -1.962860915641827e-05, 3.283990097555073e-06, 8.970326579287449e-09, -4.531490464238555e-03, 3.465806825361047e-02, 3.495298646866364e-02
20, 8.940600156780000e-01, -1.440916392228702e-02, 2.319074425113541e-03, -2.042115076795976e-05, 3.530904309288079e-06, 1.044968288097564e-08, -4.073837874841220e-03, 3.153859419466704e-02, 3.180055669277705e-02
21, 8.841500282290000e-01, -1.566269158090452e-02, 2.330911438105697e-03, -2.030521726990518e-05, 3.747417794371259e-06, 9.324001220705530e-09, -3.663291823639246e-03, 2.872270755593563e-02, 2.895532570638144e-02
22, 8.738499879840000e-01, -1.694956337677533e-02, 2.447688741306918e-03, -2.124772607330738e-05, 4.017112484879385e-06, 1.123993923341300e-08, -3.313841373920958e-03, 2.632709358251322e-02, 2.653479467830268e-02
23, 8.631799817090000e-01, -1.826569132102762e-02, 2.502071788540567e-03, -2.119914159850543e-05, 4.233284275989376e-06, 1.043803782891038e-08, -3.002069798062806e-03, 2.417631135597166e-02, 2.436195567688407e-02
24, 8.521599769590000e-01, -1.960709133914372e-02, 2.559324642793878e-03, -2.173122106255067e-05, 4.338486026412424e-06, 1.135814135636765e-08, -2.737932434426197e-03, 2.236767069526839e-02, 2.253459162986246e-02
25, 8.407700061800000e-01, -2.097463226217677e-02, 2.638667543471649e-03, -2.175518925392166e-05, 4.515193036137400e-06, 1.090673407203213e-08, -2.497867007821857e-03, 2.070136281630222e-02, 2.085149557273830e-02
26, 8.290500044819999e-01, -2.236196298315981e-02, 2.672779205807972e-03, -2.219853224501764e-05, 4.571541666890163e-06, 1.168460128278446e-08, -2.284970037338664e-03, 1.922394497274749e-02, 1.935924773734955e-02
27, 8.170099854470000e-01, -2.376642068849115e-02, 2.756329309651252e-03, -2.220423426406258e-05, 4.718629716035126e-06, 1.156629665557276e-08, -2.105026602504847e-03, 1.798432914701050e-02, 1.810708981432981e-02
28, 8.046399950980000e-01, -2.518763605296113e-02, 2.765193393802346e-03, -2.255229552681813e-05, 4.647699191298964e-06, 1.182321021288727e-08, -1.918340480946581e-03, 1.664656614434888e-02, 1.675672297379758e-02
29, 7.919700145720000e-01, -2.662062628442961e-02, 2.912454416640711e-03, -2.286496922675439e-05, 4.869304386354553e-06, 1.205870341083186e-08, -1.742353875902506e-03, 1.536892435033079e-02, 1.546736248450307e-02
30, 7.790099978450000e-01, -2.806276676215449e-02, 2.817172045454343e-03, -2.264611104757433e-05, 4.742743700585191e-06, 1.205245002681701e-08, -1.560789162290920e-03, 1.399844360581243e-02, 1.408517749967905e-02
31, 7.657799720760000e-01, -2.951033727360171e-02, 2.991180421022520e-03, -2.320775271914814e-05, 4.938963560556600e-06, 1.281547803719664e-08, -1.473852272477417e-03, 1.347204453513604e-02, 1.355241914024741e-02
32, 7.522799968720000e-01, -3.096181144522562e-02, 2.906388324206205e-03, -2.283309016531918e-05, 4.789601774255685e-06, 1.219188353107020e-08, -1.425036783762225e-03, 1.327606533885210e-02, 1.335232297046451e-02
33, 7.385200262070000e-01, -3.241453277608040e-02, 3.091063838152220e-03, -2.362358305688532e-05, 4.983991800487765e-06, 1.329155736754694e-08, -1.284242291124613e-03, 1.218011925339337e-02, 1.224763136601199e-02
34, 7.245299816130000e-01, -3.386376679305321e-02, 3.039162933580451e-03, -2.325601329212249e-05, 4.774027600312759e-06, 1.275105087461882e-08, -1.176508420742935e-03, 1.138441526740617e-02, 1.144504283219203e-02
35, 7.103199958800001e-01, -3.530689307158652e-02, 3.192567403499139e-03, -2.389533784463753e-05, 5.064087729556082e-06, 1.367316862689087e-08, -1.087175905128273e-03, 1.074020639941918e-02, 1.079508804577601e-02
36, 6.958900094030001e-01, -3.674225211597043e-02, 3.195083956629772e-03, -2.386462232986140e-05, 4.873716525753627e-06, 1.400593497862711e-08, -1.002230201307272e-03, 1.011552234370261e-02, 1.016504843962248e-02
37, 6.812700033190000e-01, -3.816515293304169e-02, 3.240542340186434e-03, -2.386410196482916e-05, 5.368009644172554e-06, 1.486131327181819e-08, -9.303102778928036e-04, 9.607245716947108e-03, 9.652181742507338e-03
38, 6.664699912070000e-01, -3.957289370556494e-02, 3.144978047578329e-03, -2.338027285242064e-05, 5.280436221169149e-06, 1.439355748631026e-08, -8.631324960139267e-04, 9.128083334695419e-03, 9.168798979583554e-03
39, 6.514999866490000e-01, -4.096270419333766e-02, 3.311049899905550e-03, -2.388294773819158e-05, 5.642633053009246e-06, 1.540611069872203e-08, -7.964926354439499e-04, 8.637538613932596e-03, 8.674183012785643e-03
40, 6.363800168040000e-01, -4.233084266562091e-02, 3.216578388261914e-03, -2.350054744909127e-05, 5.412549885451505e-06, 1.494762545286473e-08, -7.424953185657734e-04, 8.269322230244840e-03, 8.302588186495362e-03
41, 6.211299896240000e-01, -4.367359094194759e-02, 3.519157225276525e-03, -2.463182227397732e-05, 5.817854699206330e-06, 1.655234944613060e-08, -6.911358331106936e-04, 7.915375722782904e-03, 7.945490782989732e-03
42, 6.057599782940000e-01, -4.498807223669178e-02, 3.230620424174806e-03, -2.325572300703350e-05, 5.422976778569482e-06, 1.527304082138956e-08, -6.443017297335391e-04, 7.601889287673217e-03, 7.629143339521577e-03
43, 5.902799963950000e-01, -4.627132533375768e-02, 3.560239723587818e-03, -2.447168032675352e-05, 5.836741837252315e-06, 1.719104601245588e-08, -6.001867926886268e-04, 7.304549122494113e-03, 7.329163695323555e-03
44, 5.747100114820000e-01, -4.751950934859488e-02, 3.330456622632421e-03, -2.341803031440376e-05, 5.400312300621582e-06, 1.585883788349929e-08, -5.434345438959818e-04, 6.834371617969071e-03, 6.855941114604403e-03
45, 5.590599775310000e-01, -4.872955796694115e-02, 3.717253221089577e-03, -2.495802653593194e-05, 5.889273883262383e-06, 1.836767993204227e-08, -5.056353435923072e-04, 6.588907011523174e-03, 6.608277164048904e-03
46, 5.433599948880000e-01, -4.989683951066199e-02, 3.383315067636708e-03, -2.321353219926785e-05, 5.210322889445363e-06, 1.606842855159018e-08, -4.555025431273297e-04, 6.199297878067910e-03, 6.216008287073103e-03
47, 5.276100039480000e-01, -5.101897737545535e-02, 3.781865659786913e-03, -2.490749225665260e-05, 5.788932901854170e-06, 1.897287440256136e-08, -5.036542535765092e-04, 7.143596807400461e-03, 7.161326943100601e-03
48, 5.118399858470000e-01, -5.209138375948307e-02, 3.345034964467534e-03, -2.274099557106123e-05, 5.158446355404946e-06, 1.621415756031370e-08, -1.499578060648045e-04, 1.905448998468504e-03, 1.911195392417272e-03
49, 4.960500001910000e-01, -5.311153541819326e-02, 4.057165700887449e-03, -2.563749455798326e-05, 6.049306620302091e-06, 2.062217321436490e-08, -5.570807107797532e-05, 7.589632495682294e-04, 7.609628737666378e-04
50, 4.802699983120000e-01, -5.407492053959814e-02, 3.465971004766523e-03, -2.283696091517502e-05, 5.175648082030175e-06, 1.712249375701656e-08, -5.303225250723802e-04, 8.798053685699343e-03, 8.814017204224922e-03
51, 4.645099937920000e-01, -5.497835513414191e-02, 3.996639891769665e-03, -2.492587385953460e-05, 5.689028976916877e-06, 2.035991627675584e-08, -8.818645923201664e-04, 1.566107362396310e-02, 1.568587573549044e-02
52, 4.487800002100000e-01, -5.581859897363720e-02, 3.498188879022198e-03, -2.264594859004190e-05, 4.755116392778133e-06, 1.750445289067608e-08, -6.823306764207336e-04, 1.250762480883388e-02, 1.252615958560933e-02
53, 4.331099987030000e-01, -5.659141825851464e-02, 4.209261618757378e-03, -2.536202837368537e-05, 5.640643672697027e-06, 2.175471526343822e-08, 1.751015440941120e-04, -4.952041527462748e-03, -4.954791731473269e-03
54, 4.174999892710000e-01, -5.729416860686566e-02, 3.569635247325020e-03, -2.240867442077174e-05, 5.014964471468972e-06, 1.903888803551493e-08, 9.950350722666655e-04, -2.472032319479251e-02, -2.474026290448661e-02
55, 4.019699990750000e-01, -5.792324246601335e-02, 4.116780031952295e-03, -2.449823770615384e-05, 6.118464849155741e-06, 2.209488097486585e-08, 1.325409396601502e-03, -3.547523568973058e-02, -3.549997579393242e-02
56, 3.865399956700000e-01, -5.847520956655861e-02, 3.492528813843134e-03, -2.143918881129737e-05, 5.611191811642527e-06, 1.957269238143608e-08, 3.067652651725353e-04, -7.558950171263117e-03, -7.564972182292248e-03
57, 3.712300062180000e-01, -5.894684318665333e-02, 3.783854651718862e-03, -2.236154895551316e-05, 5.717160703988596e-06, 2.082267941403976e-08, -1.790711283959131e-03, 6.612290057634782e-02, 6.614710170599952e-02
58, 3.560400009160000e-01, -5.933561549045978e-02, 3.596207545435858e-03, -2.102411047414812e-05, 4.349746519182120e-06, 1.941279657377423e-08, -3.602003938235632e-03, 1.550892295537396e-01, 1.551310431395394e-01
59, 3.409900069240000e-01, -5.963847719943702e-02, 4.019697382578326e-03, -2.227683804765827e-05, 2.672581955530757e-06, 1.896172097094061e-08, -3.250884205313903e-03, 1.635232663146269e-01, 1.635550210642365e-01
60, 3.261100053790000e-01, -5.985254444802346e-02, 3.658050006611609e-03, -2.014304860885316e-05, 1.857312035827945e-06, 1.797814798804568e-08, -1.252647870834877e-03, 6.691750704664687e-02, 6.692743592329042e-02
61, 3.113999962810000e-01, -5.997565198183213e-02, 4.697902353912561e-03, -2.333893532130771e-05, 2.942312775571984e-06, 2.280663791979135e-08, -5.216213338583766e-05, -2.648331530046542e-02, -2.648268010431580e-02
62, 2.968699932100000e-01, -6.000550062925582e-02, 3.240917685566327e-03, -1.748707253931685e-05, 8.185957343134546e-07, 1.552128668711739e-08, -8.312303985430133e-05, -6.822296703761391e-02, -6.822301766809756e-02
63, 2.825500071050000e-01, -5.994005483718394e-02, 4.226886139599958e-03, -2.194034919682314e-05, 3.632426226841968e-06, 2.157296310952977e-08, -6.976862952363167e-04, -9.060292594826518e-02, -9.060560762965592e-02
64, 2.684499919410000e-01, -5.977765596976551e-02, 4.302684238284613e-03, -2.241738268888190e-05, 3.929765895198199e-06, 2.533942882768225e-08, -1.314629653706370e-03, -9.348618943792981e-02, -9.349537856364855e-02
65, 2.545700073240000e-01, -5.951657836311273e-02, 4.582804036205946e-03, -2.365799888854204e-05, 6.922648159689159e-06, 2.757534573760688e-08, -2.291127936115340e-03, -1.019912900792423e-01, -1.020170197536870e-01
66, 2.409400045870000e-01, -5.915585896897953e-02, 4.037447945788104e-03, -2.126520289125806e-05, 6.009125023070794e-06, 2.652411824428895e-08, -3.465211060384794e-03, -1.181939987820491e-01, -1.182447094561503e-01
67, 2.275699973110000e-01, -5.869456802648413e-02, 4.906381948557422e-03, -2.467439168072136e-05, 1.004971288449080e-05, 3.336754824919432e-08, -3.520461330480517e-03, -9.723636479495128e-02, -9.729977605712774e-02
68, 2.144699990750000e-01, -5.813197420944613e-02, 4.698888931769152e-03, -2.346933118104320e-05, 8.706083893479028e-06, 3.234315251247834e-08, -1.955967503906011e-03, -4.857245882510663e-02, -4.861061640143760e-02
69, 2.016600072380000e-01, -5.746811193675738e-02, 4.366972848499293e-03, -2.258646649599193e-05, 9.954058044743057e-06, 3.236426245465450e-08, 1.238545446303494e-03, 1.479429089452746e-02, 1.484057713978486e-02
70, 1.891400069000000e-01, -5.670228146432130e-02, 4.537356582652846e-03, -2.228933316077858e-05, 7.881941204417841e-06, 3.182574843048954e-08, 4.955448563186530e-03, 6.910779678502897e-02, 6.928413211346071e-02
71, 1.769299954180000e-01, -5.583513598033686e-02, 3.035466020081644e-03, -1.714356495580094e-05, 6.159054805872251e-06, 2.511643809608786e-08, 7.250642193659131e-03, 9.094984231558942e-02, 9.123782478609825e-02
72, 1.650400012730000e-01, -5.486709202536137e-02, 3.560254671393297e-03, -1.832495717853143e-05, 4.730302840844214e-06, 2.664228355353602e-08, 6.708922856433650e-03, 7.412365572311252e-02, 7.442615298909031e-02
73, 1.534900069240000e-01, -5.379977779145956e-02, 2.286718583888200e-03, -1.400383594881472e-05, 3.488825059933700e-06, 2.150550709087612e-08, 3.764249056042345e-03, 3.524256370959037e-02, 3.544171805690940e-02
74, 1.422899961470000e-01, -5.263443049277360e-02, 3.153512809347913e-03, -1.637520352259273e-05, 3.156892129185022e-06, 2.473154585020984e-08, 4.188234527159014e-04, -1.362471047728610e-04, -8.957903977162862e-05
75, 1.314399987460000e-01, -5.137133628795417e-02, 2.538462209228464e-03, -1.434640233593450e-05, 3.336431078976044e-06, 2.305252933868399e-08, -1.353842102144237e-03, -1.600955570909845e-02, -1.605514921457949e-02
76, 1.209499984980000e-01, -5.001187382363489e-02, 2.955033533973427e-03, -1.528444001495809e-05, 2.808960431507823e-06, 2.455516806974020e-08, -1.062820131409324e-03, -1.347240452959076e-02, -1.349235822998732e-02
77, 1.108499988910000e-01, -4.856066993422563e-02, 2.192855321626677e-03, -1.270157260802115e-05, 2.741275367863646e-06, 2.230766332166000e-08, 2.593159174257950e-04, -4.274724552534350e-03, -4.188006699982934e-03
78, 1.011300012470000e-01, -4.701715290498424e-02, 2.683443312873908e-03, -1.400792470324840e-05, 2.005958846358176e-06, 2.368482547936850e-08, 1.283651669819121e-03, 1.559004140927848e-03, 1.748929841979811e-03
79, 9.181000292300000e-02, -4.538527151431038e-02, 1.907619069827779e-03, -1.148730700873896e-05, 1.604960105429319e-06, 2.133295194213079e-08, 1.449863835535262e-03, 1.477178759747173e-03, 1.714848669631388e-03
80, 8.290000259900000e-02, -4.366791468532204e-02, 2.237868923702020e-03, -1.226418240165739e-05, 7.933906393926162e-07, 2.194655023376610e-08, 1.236844504770219e-03, -8.450111219966270e-04, -5.832047617695568e-04
81, 7.440000027400000e-02, -4.186607976498817e-02, 1.516240982302694e-03, -9.947196024315207e-06, 3.697052795147362e-07, 1.996576321708785e-08, 1.293048286703777e-03, -1.750705302944004e-03, -1.428462137795016e-03
82, 6.633000075800000e-02, -3.998513962421356e-02, 1.947314786781514e-03, -1.094368814478065e-05, -3.906275725767792e-07, 2.026624057317648e-08, 1.651279642711502e-03, -1.533106737618048e-03, -1.097216072956857e-03
83, 5.869000032500000e-02, -3.802635805630503e-02, 1.243029015435786e-03, -8.760139307635927e-06, -9.572656582934299e-07, 1.825517384807492e-08, 2.216685449473004e-03, -8.443051775168110e-04, -2.395322624525263e-04
84, 5.149000138000000e-02, -3.599337852580232e-02, 1.584845514141023e-03, -9.617151324374367e-06, -1.632827667815987e-06, 1.849702021289547e-08, 2.675490935773961e-03, -1.069062325716456e-03, -2.644212505679784e-04
85, 4.473999887700000e-02, -3.389028465845557e-02, 8.273160169666241e-04, -7.307931190735781e-06, -2.377209146759976e-06, 1.648360035449046e-08, 3.784221471744702e-03, 2.005534484899326e-04, 1.368711601092022e-03
86, 3.844000026600000e-02, -3.171811260404538e-02, 1.306791674090332e-03, -8.710952752927098e-06, -2.848000631888754e-06, 1.653692696893295e-08, 4.211555509959330e-03, -1.267684364083054e-03, 2.461975308822566e-04
87, 3.260000050100000e-02, -2.948109446637338e-02, 5.143472900392219e-04, -6.337526004975555e-06, -3.825955807576112e-06, 1.470634513401636e-08, 4.267003479305869e-03, -4.079376112661437e-03, -2.181874276420629e-03
88, 2.723000012300000e-02, -2.718419978786347e-02, 8.910631139844682e-04, -7.573831228128830e-06, -4.162647707403716e-06, 1.418046085483147e-08, 7.223868229779485e-03, -2.020674703295728e-03, 1.140777326555747e-03
89, 2.232000045500000e-02, -2.482329437156798e-02, 1.205388273212945e-04, -5.430201970068308e-06, -5.771893308020944e-06, 1.121184318421328e-08, 1.053546569679070e-02, -7.680860013873857e-04, 4.112436934038965e-03
90, 1.789999939500000e-02, -2.241364555514381e-02, 5.509441653435473e-04, -7.088397182157734e-06, -5.525541192480477e-06, 1.128543112030645e-08, 1.253918360480712e-02, -3.662282441788725e-03, 3.150061282772344e-03
91, 1.394999958600000e-02, -1.994492353858276e-02, -9.623777530915346e-05, -5.480635710060688e-06, -6.973141084334512e-06, 8.599014594774635e-09, 1.293966169427751e-02, -1.057927174801427e-02, -1.555895118038113e-03
92, 1.049000024800000e-02, -1.742916196961543e-02, -6.255668350605922e-05, -6.144216486550090e-06, -6.738253268115101e-06, 9.569057742202735e-09, 1.655830305959277e-02, -1.390497668299849e-02, -6.513551457664298e-04
93, 7.519999985000000e-03, -1.486756313872443e-02, 1.680757698429248e-04, -7.293317978074244e-06, -5.940109613131473e-06, 8.473345611517557e-09, 1.449124971577676e-02, -2.384974864087289e-02, -7.332730911974662e-03
94, 5.040000193000000e-03, -1.226032473458219e-02, -3.958037680754688e-04, -6.345272546810129e-06, -7.174579141730013e-06, 7.493082510075263e-09, 1.470442793635072e-02, -2.933652127551641e-02, -7.786378391461670e-03
95, 3.049999941000000e-03, -9.605565346412577e-03, -1.759875516801805e-04, -7.814676701601697e-06, -5.769214441627038e-06, 6.799018203508774e-09, 5.267142268126780e-03, -3.554659808662430e-02, -1.498710315347172e-02
96, 1.560000004000000e-03, -6.917517506923035e-03, -2.162341470595470e-04, -8.193796806511537e-06, -5.581427335231499e-06, 4.400852837309237e-09, -2.105207894870610e-02, -4.733409940365117e-02, -3.886044783247342e-02
97, 5.600000150000000e-04, -4.173159738460802e-03, -1.899066353717665e-04, -8.584426743738025e-06, -5.471010710255633e-06, 6.837858443425691e-09, -2.766677376331651e-02, -2.067903549249217e-02, -3.210835982313121e-02
98, 5.999999800000000e-05, -1.375329724321098e-03, -5.480708468725558e-04, -8.839935554244256e-06, -3.602583037823722e-06, 4.228311621084923e-09, -2.198342087372664e-02, -1.273135149421218e-02, -2.348137865208687e-02
99, 0.000000000000000e+00, 0.000000000000000e+00, -2.832852817231351e-04, -5.466174504826781e-06, 5.282724008481804e-07, 1.108968929363266e-08, -4.991266176635391e-02, 4.082137794423310e-03, -4.991266176635390e-02
100, 5.999999800000000e-05, 1.375329724321098e-03, 7.332714798641092e-05, -8.977174405494392e-06, 2.722187755876849e-06, 3.055527468468017e-09, -7.266605988107322e-02, 3.940552356147781e-02, -7.726139532996719e-02
101, 5.600000150000000e-04, 4.173159738460802e-03, -3.189547338774628e-04, -9.999708898259074e-06, 6.199389365850972e-06, 4.118864672771081e-09, -7.587671850485563e-03, 3.821765323337600e-02, -1.730858487306924e-02
102, 1.560000004000000e-03, 6.917517506923035e-03, 2.604270608418162e-05, -8.588576994475175e-06, 4.014812652363111e-06, 9.564973162530366e-09, 1.395889197912664e-02, 4.543396062272250e-02, -6.241792255182835e-03
103, 3.049999941000000e-03, 9.605565346412577e-03, -9.805481128774389e-05, -7.543221967341732e-06, 5.632734318966157e-06, 1.018656144811642e-08, 1.677571083310703e-02, 4.124481355343032e-02, -8.453707142430015e-03
104, 5.040000193000000e-03, 1.226032473458219e-02, 1.164179615906173e-04, -5.994349179060061e-06, 4.723802088684916e-06, 1.039700192188134e-08, 3.095468554864045e-02, 2.295136021257061e-02, 8.732355631822591e-03
105, 7.519999985000000e-03, 1.486756313872443e-02, 1.435893348895314e-05, -4.725895958959906e-06, 4.922154522039977e-06, 1.147709311272492e-08, 2.587593468948034e-02, 1.369752596997376e-02, 7.867760266625484e-03
106, 1.049000024800000e-02, 1.742916196961543e-02, 3.234647441713136e-04, -4.736870640338128e-06, 3.620033650532753e-06, 1.251874827848343e-08, 2.421589130405211e-02, 3.383394508757032e-03, 1.235178313807700e-02
107, 1.394999958600000e-02, 1.994492353858276e-02, 2.203316673557393e-04, -3.601614031978993e-06, 3.666102347927075e-06, 1.246561052538894e-08, 1.866985004520305e-02, -5.524973301628440e-04, 1.087889498472240e-02
108, 1.789999939500000e-02, 2.241364555514381e-02, 5.465217103537117e-04, -4.252691666919647e-06, 2.395370790697350e-06, 1.382700111269854e-08, 1.753237961931745e-02, -8.661644642977782e-03, 1.631183373442274e-02
109, 2.232000045500000e-02, 2.482329437156798e-02, 3.487225197032135e-04, -2.776644234839412e-06, 2.273246959179755e-06, 1.360427192092597e-08, 2.059430588738559e-02, -2.327628566328612e-02, 3.009994996163586e-02
110, 2.723000012300000e-02, 2.718419978786347e-02, 9.178124898059489e-04, -4.413416362157397e-06, 4.957670943462017e-07, 1.617684684225704e-08, 1.289672631451691e-02, -1.242067431961063e-02, 1.663610861417557e-02
111, 3.260000050100000e-02, 2.948109446637338e-02, 8.783450860584655e-04, -3.578988836605983e-06, 5.123768038244546e-08, 1.601076344426069e-08, -1.742267740324200e-02, 5.912906423335640e-02, -6.134796231698152e-02
112, 3.844000026600000e-02, 3.171811260404538e-02, 6.138230242044959e-04, -2.952360386549244e-06, 1.062300063723625e-06, 1.426732556788904e-08, -4.386829018609398e-02, 1.329433358873816e-01, -1.399325844820257e-01
113, 4.473999887700000e-02, 3.389028465845557e-02, -4.174596911550734e-04, 7.558582606676839e-07, 3.015851794096607e-06, 9.680927811460291e-09, -1.848190604833697e-02, 5.955044525257853e-02, -6.234487541179153e-02
114, 5.149000138000000e-02, 3.599337852580232e-02, -2.266329699322671e-04, 3.331808740771998e-07, 1.196248006462301e-06, 1.110954097351371e-08, 6.560885106789457e-02, -2.248020958938675e-01, 2.341783574231802e-01
115, 5.869000032500000e-02, 3.802635805630503e-02, -1.044637299360449e-03, 3.475064084074061e-06, 6.510098517270334e-08, 9.172225511967796e-09, 1.467760990571637e-01, -5.460229135509375e-01, 5.654062580549157e-01
116, 6.633000075800000e-02, 3.998513962421356e-02, 4.819814014976165e-03, -1.438512770716200e-05, -1.546702768002704e-05, 3.908382921518254e-08, 1.555657193172029e-01, -6.262352650529562e-01, 6.452638022403625e-01
117, 7.440000027400000e-02, 4.186607976498817e-02, 2.832844458131502e-03, -7.505945351543144e-06, -1.701798191666382e-05, 3.421882855934653e-08, 8.705292073935315e-02, -3.735518713226583e-01, 3.835410581872709e-01
118, 8.290000259900000e-02, 4.366791468532204e-02, 4.475889068956083e-03, -1.259127873244722e-05, -2.069398376334992e-05, 4.169681143570295e-08, -2.281057163080724e-03, 2.821795924440852e-02, -2.811050854161564e-02
119, 9.181000292300000e-02, 4.538527151431038e-02, 2.826954906594905e-03, -7.100385714651626e-06, -2.070246229738618e-05, 3.672086322351108e-08, -5.786094025897781e-02, 3.246274529290466e-01, -3.297389976597849e-01
120, 1.011300012470000e-01, 4.701715290498424e-02, -8.453600782088643e-04, 4.475626913876380e-06, -1.024322315270582e-05, 1.440363218053230e-08, -6.850022034791456e-02, 4.140077543513619e-01, -4.196360456546377e-01
121, 1.108499988910000e-01, 4.856066993422563e-02, 7.554684805501534e-04, -1.241701702264032e-07, -1.369681350151355e-05, 2.180945247773499e-08, -5.512474995789021e-02, 3.658394337505760e-01, -3.699691969974768e-01
122, 1.209499984980000e-01, 5.001187382363489e-02, -1.944396258459154e-03, 8.727528962538435e-06, -5.131842807910253e-06, 3.939986975986773e-09, -3.935217090704449e-02, 2.898353422297970e-01, -2.924945721793148e-01
123, 1.314399987460000e-01, 5.137133628795417e-02, -1.512837366780467e-04, 3.320867494269802e-06, -7.783761573068528e-06, 1.140073452099008e-08, -2.874666939282224e-02, 2.362867634585144e-01, -2.380288256766537e-01
124, 1.422899961470000e-01, 5.263443049277360e-02, -2.785076334359855e-03, 1.195658313079706e-05, -1.216228275413841e-06, -4.121244116645058e-09, -2.168779101122746e-02, 1.992840798498075e-01, -2.004605645830586e-01
